标题,策略,自然,经济,社会,政治,文化,图,文,物,场,演,媒,事,业,相关主体,描述,关联项
"几代人的高压电缆并置 
",全息,,,,,,,,,,,,,,,,
慢速摄影>>>,全息,观测,,,,,图像,,凝固的过程,,慢速摄影>>>微观过程,,,,@影视飓风,,
钢铁是怎样练成的：微观下的金属 ,全息,矿石/金属结晶,高性能合金,,,,,,"自然态金属/
合金/
展示立面",,,,,,@上重@相关合金制造公司,"展示合金的原理和它们最初的样子
将合金分为金属单质
一一展示在同一面立面上
每一个单位是一种金属结晶

原材料
金属单质
最后再展示金属融合其它物质之后的结晶状态",
下五洋捉鳖3：窥看深海 ,全息,深海地貌/生物,高端装备,,,,4K摄影,,,,,/全息影像,影像创作计划（艺术家邀约）,,@702研究所@中船集团,"“黑水摄影师”是一类喜欢在深夜潜入深海，在一片漆黑中拍摄姿态各异的幼鱼和幼虫。这种氛围感与“深海”不默而合

人下潜的深度有限
因此载人潜艇可以与摄影师们合作，让摄影师通过载人潜艇，拍摄高清的深海影像，一方面为影像创作提供素材

将深海展现在大众面前。通过还原潜艇的窥孔，人们通过窥孔观看高清影像，加深体验感",
编织你的大脑 ,全息,生物工业,纺织工业,,,,,,毛线帽,,编织过程,,,,@上海工业博物馆@摩登上海,"1、在博物馆做一个脑部ct是什么样的体验？
2、联合纺织机器或3D打印技术，将自己的大脑变成一顶帽子，把自己的大脑戴在头上。","《up主计划》
《收集癖》"
时间的形状：一分一事件,全息,时间,,组织与协调,,工业文明,,,巨大时钟,,,高清摄影/数字互动,,,@央视,"用高清数字影像制作一个大型的时钟
每一分钟为一个单位，且每一分钟都可以互动
一分钟对应一件工业事件
可以通过影像
声音
摄影
......

以时钟的留白处进行播放，作为整个数字时钟的背景",@影像创作计划
一分钟，可以做什么？,全息,时间,"钟表工业
",,,"工业史
标准化",,虚构文本写作,实物,,,"历史影像再创作
声音",,,@上海手表,"一分钟，可以做什么？
一分钟？劳模可以生产多少米布？
一分钟？地铁可以运送多少乘客？
工业史上有哪些关键的一分钟？

并置和这一分钟事件相关的钟表实物
看到时间的形状
音高音质差异的钟表嘀嗒声
以同样的节律在展场中回响",
听见时间的速度,全息,时间,,,,"工业史
标准化
",,,时钟,,,机械声音采样,,,@ 不同工业领域,"不同型号功能的电机（按照历史发展进程）运作
听听他们的声音感受时间（一分钟）在工业化进程中的变化",
发射一颗卫星1:来自宇宙的声音,全息,太空,,,,卫星/音乐,,,卫星编译,,,声音可视化,音乐创作,,@航天八院@社会创作人员@中国美术学院,"人们通过工博馆这个平台，自主选定自己喜好的音乐，通过电磁波的形式发送到卫星，再由卫星按照自身设定的程序编译之后返回地面，通过3D打印可视化，最后返回到人们手中

同时，艺术家们也可以通过卫星再编译之后的信息进行同一首曲子的二次创作，只不过二次创作中夹带了来自宇宙的声音

与“工业音乐”内容进行联动，让音乐创作不仅局限于地表，还可以在地外",
能源1：太阳能建筑一体化,全息,太阳能,绿色建筑,,,,,,能源转化装置,,,,能教一体,,@上海太阳能科技,"工博馆建筑用太阳能透明幕墙，能在保持透明度的同时，又能将太阳能转化成能源作为建筑的消耗

同时，太阳能电池作为建筑永久组成部分，使人能够监测能源生产情况，因此可以研学方面为工博馆提供数据支持",
